Component, GAV, License, URL, Scope, Path
Apache PDFBox,org.apache.pdfbox:pdfbox:2.0.24:bundle,Apache License -  Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.plugins:document-conversion-library:2.7.10/META-INF/lib/pdfbox-2.0.24.jar/META-INF/maven/org.apache.pdfbox/pdfbox
Apache PDFBox,org.apache.pdfbox:pdfbox:2.0.29:bundle,Apache License 2.0,https://www.apache.org/pdfbox-parent/pdfbox/,binary,
Apache POI - API based on OPC and OOXML schemas,org.apache.poi:poi-ooxml:5.2.3:jar,Apache License 2.0,https://poi.apache.org/,binary,
Apache POI - Common,org.apache.poi:poi:5.2.3:jar,Apache License 2.0,https://poi.apache.org/,binary,
Apache POI,org.apache.poi:poi-ooxml-lite:5.2.3:jar,Apache License 2.0,https://poi.apache.org/,binary,
Apache POI,org.apache.poi:poi-ooxml-schemas:4.1.2:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.confluence.plugins:analytics:18.5.24/META-INF/lib/poi-ooxml-schemas-4.1.2.jar
Apache POI,org.apache.poi:poi-ooxml:4.1.2:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.confluence.plugins:analytics:18.5.24/META-INF/lib/poi-ooxml-4.1.2.jar
Apache POI,org.apache.poi:poi-scratchpad:5.2.3:jar,Apache License 2.0,https://poi.apache.org/,binary,
Apache POI,org.apache.poi:poi:4.1.2:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.confluence.plugins:analytics:18.5.24/META-INF/lib/poi-4.1.2.jar
Apache ServiceMix :: Bundles :: aopalliance,org.apache.servicemix.bundles:org.apache.servicemix.bundles.aopalliance:1.0_6:bundle,Apache License 2.0,http://servicemix.apache.org/bundles-pom/org.apache.servicemix.bundles.aopalliance/,binary,com.atlassian.plugins:atlassian-plugins-framework-bundles:7.2.2/org.apache.servicemix.bundles.aopalliance-1.0_6.jar/META-INF/maven/org.apache.servicemix.bundles/org.apache.servicemix.bundles.aopalliance
Apache ServiceMix :: Bundles :: javax.inject,org.apache.servicemix.bundles:org.apache.servicemix.bundles.javax-inject:1_2:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.confluence.extra.team-calendars:team-calendars:18.5.8/META-INF/maven/org.apache.servicemix.bundles/org.apache.servicemix.bundles.javax-inject
Apache ServiceMix :: Bundles :: spring-aop,org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-aop:5.3.29_1:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.plugins:atlassian-plugins-framework-bundles:7.2.2/org.apache.servicemix.bundles.spring-aop-5.3.29_1.jar/META-INF/maven/org.apache.servicemix.bundles/org.apache.servicemix.bundles.spring-aop
Apache ServiceMix :: Bundles :: spring-beans,org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-beans:5.3.29_1:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.plugins:atlassian-plugins-framework-bundles:7.2.2/org.apache.servicemix.bundles.spring-beans-5.3.29_1.jar/META-INF/maven/org.apache.servicemix.bundles/org.apache.servicemix.bundles.spring-beans
Apache ServiceMix :: Bundles :: spring-context,org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-context:5.3.29_1:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.plugins:atlassian-plugins-framework-bundles:7.2.2/org.apache.servicemix.bundles.spring-context-5.3.29_1.jar/META-INF/maven/org.apache.servicemix.bundles/org.apache.servicemix.bundles.spring-context
Apache ServiceMix :: Bundles :: spring-context-support,org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-context-support:5.3.29_1:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.plugins:atlassian-plugins-framework-bundles:7.2.2/org.apache.servicemix.bundles.spring-context-support-5.3.29_1.jar/META-INF/maven/org.apache.servicemix.bundles/org.apache.servicemix.bundles.spring-context-support
Apache ServiceMix :: Bundles :: spring-core,org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-core:5.3.29_1:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.plugins:atlassian-plugins-framework-bundles:7.2.2/org.apache.servicemix.bundles.spring-core-5.3.29_1.jar/META-INF/maven/org.apache.servicemix.bundles/org.apache.servicemix.bundles.spring-core
Apache ServiceMix :: Bundles :: spring-expression,org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-expression:5.3.29_1:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.plugins:atlassian-plugins-framework-bundles:7.2.2/org.apache.servicemix.bundles.spring-expression-5.3.29_1.jar/META-INF/maven/org.apache.servicemix.bundles/org.apache.servicemix.bundles.spring-expression
Apache ServiceMix :: Bundles :: spring-jdbc,org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-jdbc:5.3.29_1:bundle,Apache License 2.0,http://servicemix.apache.org/bundles-pom/org.apache.servicemix.bundles.spring-jdbc/,binary,
Apache ServiceMix :: Bundles :: spring-tx,org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-tx:5.3.29_1:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache ServiceMix :: Bundles :: spring-web,org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-web:5.3.29_1:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.plugins:atlassian-plugins-framework-bundles:7.2.2/org.apache.servicemix.bundles.spring-web-5.3.29_1.jar/META-INF/maven/org.apache.servicemix.bundles/org.apache.servicemix.bundles.spring-web
Apache ServiceMix :: Bundles :: spring-webmvc,org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-webmvc:5.3.29_1:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.plugins:atlassian-plugins-framework-bundles:7.2.2/org.apache.servicemix.bundles.spring-webmvc-5.3.29_1.jar/META-INF/maven/org.apache.servicemix.bundles/org.apache.servicemix.bundles.spring-webmvc
Apache ServiceMix :: Bundles :: velocity,org.apache.servicemix.bundles:org.apache.servicemix.bundles.velocity:1.7_6:bundle,Apache License 2.0,http://servicemix.apache.org/bundles-pom/org.apache.servicemix.bundles.velocity/,binary,com.atlassian.plugins:atlassian-plugins-framework-bundles:7.2.2/org.apache.servicemix.bundles.velocity-1.7_6.jar/META-INF/maven/org.apache.servicemix.bundles/org.apache.servicemix.bundles.velocity
Apache Shindig Common Code,com.atlassian.shindig:shindig-common:3.0.5:jar,Apache License,https://incubator.apache.org/shindig/shindig-common,binary,
Apache Shindig Features,com.atlassian.shindig:shindig-features:3.0.5:jar,Apache License,https://incubator.apache.org/shindig/shindig-features,binary,
Apache Shindig Gadget Renderer,com.atlassian.shindig:shindig-gadgets:3.0.5:jar,Apache License,https://incubator.apache.org/shindig/shindig-gadgets,binary,
Apache Shindig Social API,com.atlassian.shindig:shindig-social-api:3.0.5:jar,Apache License,https://incubator.apache.org/shindig/shindig-social-api,binary,
Apache Sling Commons OSGi support,org.apache.sling:org.apache.sling.commons.osgi:2.0.4-incubator:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Sling Scripting JSP,org.apache.sling:org.apache.sling.scripting.jsp:2.6.2-atlassian-1:jar,Apache License 2.0,https://github.com/atlassian-forks/sling-org-apache-sling-scripting-jsp,binary,
Apache Tika core,org.apache.tika:tika-core:1.28.4:bundle,Apache License 2.0,https://tika.apache.org/license.html,binary,
Apache Tika core,org.apache.tika:tika-core:2.4.1:bundle,Apache License 2.0,https://tika.apache.org/license.html,binary,com.atlassian.confluence.extra.webdav:webdav-plugin:18.5.7/META-INF/maven/org.apache.tika/tika-core
Apache Tika core,org.apache.tika:tika-core:2.5.0:bundle,Apache License 2.0,https://tika.apache.org/license.html,binary,com.atlassian.confluence.plugins:confluence-create-content-plugin:18.5.7/META-INF/maven/org.apache.tika/tika-core
Apache Tika core,org.apache.tika:tika-core:2.7.0:bundle,Apache License 2.0,https://tika.apache.org/license.html,binary,
Apache Velocity,org.apache.velocity:velocity:1.6.4-atlassian-28:jar,Apache License 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache XML Graphics Commons,org.apache.xmlgraphics:xmlgraphics-commons:2.9:jar,Apache License 2.0,https://xmlgraphics.apache.org/commons/,binary,
Apache XML Security for Java,org.apache.santuario:xmlsec:2.3.3:bundle,Apache License 2.0,https://santuario.apache.org/,binary,
Apache XmpBox,org.apache.pdfbox:xmpbox:2.0.24:bundle,Apache License -  Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.plugins:document-conversion-library:2.7.10/META-INF/lib/xmpbox-2.0.24.jar/META-INF/maven/org.apache.pdfbox/xmpbox
Apache XmpBox,org.apache.pdfbox:xmpbox:2.0.29:bundle,Apache License 2.0,https://www.apache.org/pdfbox-parent/xmpbox/,binary,
Applinks - API,com.atlassian.applinks:applinks-api:9.1.4:jar,Apache 2,https://www.atlassian.com/public-pom/applinks-parent/applinks-api/,binary,
Applinks - Common,com.atlassian.applinks:applinks-common:9.1.4:jar,Apache 2,https://www.atlassian.com/public-pom/applinks-parent/applinks-common/,binary,
Applinks - Host Integration Services,com.atlassian.applinks:applinks-host:9.1.4:jar,Apache 2,https://www.atlassian.com/public-pom/applinks-parent/applinks-host/,binary,
Applinks - Plugin - Basic Authentication,com.atlassian.applinks:applinks-basicauth-plugin:9.1.4:atlassian-plugin,Apache 2,https://www.atlassian.com/public-pom/applinks-parent/applinks-basicauth-plugin/,binary,
Applinks - Plugin - Core,com.atlassian.applinks:applinks-plugin:9.1.4:atlassian-plugin,Apache 2,https://www.atlassian.com/public-pom/applinks-parent/applinks-plugin/,binary,
Applinks - Plugin - CORS,com.atlassian.applinks:applinks-cors-plugin:9.1.4:atlassian-plugin,Apache 2,https://www.atlassian.com/public-pom/applinks-parent/applinks-cors-plugin/,binary,
Applinks - Plugin - OAuth,com.atlassian.applinks:applinks-oauth-plugin:9.1.4:atlassian-plugin,Apache 2,https://www.atlassian.com/public-pom/applinks-parent/applinks-oauth-plugin/,binary,
Applinks - Plugin - Trusted Apps,com.atlassian.applinks:applinks-trustedapps-plugin:9.1.4:atlassian-plugin,Apache 2,https://www.atlassian.com/public-pom/applinks-parent/applinks-trustedapps-plugin/,binary,
Applinks - SPI,com.atlassian.applinks:applinks-spi:9.1.4:jar,Apache 2,https://www.atlassian.com/public-pom/applinks-parent/applinks-spi/,binary,
ASM based accessors helper used by json-smart,net.minidev:accessors-smart:2.4.9:bundle,Apache License 2.0,https://raw.githubusercontent.com/netplex/json-smart-v2/2.4.9/LICENSE,binary,com.atlassian.plugins.authentication:atlassian-authentication-plugin:4.2.26/META-INF/maven/net.minidev/accessors-smart
ASM based accessors helper used by json-smart,net.minidev:accessors-smart:2.5.0:bundle,Apache License 2.0,https://urielch.github.io/,binary,
asm,org.ow2.asm:asm:9.5:jar,BSD License,https://asm.ow2.io/license.html,binary,
AspectJ weaver,org.aspectj:aspectjweaver:1.9.6:jar,Eclipse Public License 1.0,http://www.eclipse.org/legal/epl-v10.html,binary,
Aspose Imaging for Java,com.aspose:aspose-imaging:21.8:jar,Site OEM License,,binary,com.atlassian.plugins:document-conversion-library:2.7.10/META-INF/lib/aspose-imaging-21.8-jdk16.jar
Aspose PSD for Java,com.aspose:aspose-psd:21.7:jar,Site OEM License,,binary,com.atlassian.plugins:document-conversion-library:2.7.10/META-INF/lib/aspose-psd-21.7-jdk16.jar
aspose-cells,com.aspose:aspose-cells:20.11:jar,Site OEM License,,binary,com.atlassian.plugins:document-conversion-library:2.7.10/META-INF/lib/aspose-cells-20.11.jar
aspose-pdf,com.aspose:aspose-pdf:11.9.0:jar,Site OEM License,,binary,com.atlassian.plugins:document-conversion-library:2.7.10/META-INF/lib/aspose-pdf-11.9.0.jar
aspose-pdf-legacy,com.aspose:aspose-pdf-legacy:11.9.0:jar,Site OEM License,,binary,com.atlassian.plugins:document-conversion-library:2.7.10/META-INF/lib/aspose-pdf-legacy-11.9.0.jar
Aspose.Slides for Java,com.aspose:aspose-slides:21.8:jar,Site OEM License,http://www.aspose.com/java/powerpoint-component.aspx,binary,com.atlassian.plugins:document-conversion-library:2.7.10/META-INF/lib/aspose-slides-21.8-jdk16.jar
Aspose.Words for Java,com.aspose:aspose-words:20.11:pom,Site OEM License,https://products.aspose.com/words/java,binary,com.atlassian.plugins:document-conversion-library:2.7.10/META-INF/lib/aspose-words-20.11-shaping-harfbuzz-plugin.jar
Atlassian Analytics Micrometer Registry,com.atlassian.profiling:micrometer-registry-atlassian-analytics:4.9.0:jar,BSD License,https://docs.atlassian.com/micrometer-registry-atlassian-analytics/4.9.0/atlassian-profiling-base/micrometer-registry-atlassian-analytics,binary,
