[05/Apr/2024:13:27:17 +0300] - http-nio-8090-exec-1 127.0.0.1 GET / HTTP/1.1 302 203ms - - Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.908fe798b4/com.atlassian.auiplugin:split_aui.splitchunk.908fe798b4.css HTTP/1.1 200 21ms 23203 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-5 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.862f26d10a/com.atlassian.auiplugin:split_aui.splitchunk.862f26d10a.css HTTP/1.1 200 17ms 6741 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.7da3927366/com.atlassian.auiplugin:split_aui.splitchunk.7da3927366.css HTTP/1.1 200 20ms 11599 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-3 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.b2ecdd4179/com.atlassian.auiplugin:split_aui.splitchunk.b2ecdd4179.css HTTP/1.1 200 27ms 1423 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-8 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.4a667cc1ee/com.atlassian.auiplugin:split_aui.splitchunk.4a667cc1ee.css HTTP/1.1 200 21ms 1299 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.3db8886820/com.atlassian.auiplugin:split_aui.splitchunk.3db8886820.css HTTP/1.1 200 6ms 673 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-7 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.pattern.multi-step-progress/com.atlassian.auiplugin:split_aui.pattern.multi-step-progress.css HTTP/1.1 200 6ms 2597 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-1 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.141abf7fb1/com.atlassian.auiplugin:split_aui.splitchunk.141abf7fb1.css HTTP/1.1 200 29ms 785 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.deprecated.component.dialog1/com.atlassian.auiplugin:split_aui.deprecated.component.dialog1.css HTTP/1.1 200 5ms 5179 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-9 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.16f099a0da/com.atlassian.auiplugin:split_aui.splitchunk.16f099a0da.css HTTP/1.1 200 18ms 2921 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-7 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.d925afe2c0/com.atlassian.auiplugin:split_aui.splitchunk.d925afe2c0.css HTTP/1.1 200 6ms 9651 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.deprecated.component.dropdown1/com.atlassian.auiplugin:split_aui.deprecated.component.dropdown1.css HTTP/1.1 200 14ms 3585 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.3d2cb1af14/com.atlassian.auiplugin:split_aui.splitchunk.3d2cb1af14.css HTTP/1.1 200 11ms 787 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-5 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.component.flag/com.atlassian.auiplugin:split_aui.component.flag.css HTTP/1.1 200 10ms 1331 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.b652d2668a/com.atlassian.auiplugin:split_aui.splitchunk.b652d2668a.css HTTP/1.1 200 5ms 10456 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-7 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/1.0/_/download/batch/confluence.web.resources:common-header-resources/confluence.web.resources:common-header-resources.css HTTP/1.1 200 18ms 2490 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.5b8c290363/com.atlassian.auiplugin:split_aui.splitchunk.5b8c290363.css HTTP/1.1 200 8ms 1102 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-8 127.0.0.1 GET /s/b1d53c40561b4545b29b6ac6480bf3da-CDN/f7h4z9/9012/s1004134457/1.0/_/download/batch/confluence.web.resources:aui-dialog1-deprecated/confluence.web.resources:aui-dialog1-deprecated.css HTTP/1.1 200 26ms 1272 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/b1d53c40561b4545b29b6ac6480bf3da-CDN/f7h4z9/9012/s1004134457/1.0/_/download/batch/confluence.web.resources:ajs/confluence.web.resources:ajs.css HTTP/1.1 200 28ms 17341 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/1.0/_/download/batch/confluence.web.resources:setup/confluence.web.resources:setup.css HTTP/1.1 200 13ms 8949 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-1 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/1.0/_/download/batch/confluence.web.resources:setup-cluster/confluence.web.resources:setup-cluster.css HTTP/1.1 200 15ms 565 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.f5244b0828/com.atlassian.auiplugin:split_aui.splitchunk.f5244b0828.css HTTP/1.1 200 21ms 6270 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-3 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.component.async-header/com.atlassian.auiplugin:split_aui.component.async-header.css HTTP/1.1 200 20ms 292 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-5 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.b548966f06/com.atlassian.auiplugin:split_aui.splitchunk.b548966f06.css HTTP/1.1 200 30ms 7144 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.57d1ac075f/com.atlassian.auiplugin:split_aui.splitchunk.57d1ac075f.css HTTP/1.1 200 15ms 1050 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/6.1.0/_/download/batch/com.atlassian.plugins.atlassian-plugins-webresource-rest:web-resource-manager/com.atlassian.plugins.atlassian-plugins-webresource-rest:web-resource-manager.js HTTP/1.1 200 22ms 7207 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-7 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1004134457/8.5.7/_/download/batch/com.atlassian.confluence.plugins.confluence-frontend:common-runtime/com.atlassian.confluence.plugins.confluence-frontend:common-runtime.js?locale=en-GB HTTP/1.1 200 21ms 1878 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-8 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1004134457/8.5.7/_/download/batch/com.atlassian.confluence.plugins.confluence-frontend:split_vendors~amd~date-time~form-state-control~locale~react~react-dom~react-dom-client~react-dom-server~sk~5f2ced0f/com.atlassian.confluence.plugins.confluence-frontend:split_vendors~amd~date-time~form-state-control~locale~react~react-dom~react-dom-client~react-dom-server~sk~5f2ced0f.js?locale=en-GB HTTP/1.1 200 22ms 3529 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-8 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1004134457/8.5.7/_/download/batch/com.atlassian.confluence.plugins.confluence-frontend:split_amd~date-time~form-state-control~locale~react~react-dom~react-dom-client~react-dom-server~skip-links~b640b4bc/com.atlassian.confluence.plugins.confluence-frontend:split_amd~date-time~form-state-control~locale~react~react-dom~react-dom-client~react-dom-server~skip-links~b640b4bc.js?locale=en-GB HTTP/1.1 200 8ms 622 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-3 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1004134457/8.5.7/_/download/batch/com.atlassian.confluence.plugins.confluence-frontend:split_vendors~amd~backbone~custom-event~form-state-control~jquery-selection-plugin~skip-links/com.atlassian.confluence.plugins.confluence-frontend:split_vendors~amd~backbone~custom-event~form-state-control~jquery-selection-plugin~skip-links.js?locale=en-GB HTTP/1.1 200 10ms 599 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1004134457/8.5.7/_/download/batch/com.atlassian.confluence.plugins.confluence-frontend:split_vendors~abortcontroller~amd~backbone~core-js~custom-event~form-state-control~jquery-selection-plugin~664d3b62/com.atlassian.confluence.plugins.confluence-frontend:split_vendors~abortcontroller~amd~backbone~core-js~custom-event~form-state-control~jquery-selection-plugin~664d3b62.js?locale=en-GB HTTP/1.1 200 11ms 627 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-5 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1004134457/8.5.7/_/download/batch/com.atlassian.confluence.plugins.confluence-frontend:split_amd/com.atlassian.confluence.plugins.confluence-frontend:split_amd.js?locale=en-GB HTTP/1.1 200 5ms 1041 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-5 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/1.0/_/download/batch/confluence.web.resources:underscore/confluence.web.resources:underscore.js HTTP/1.1 200 10ms 172 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-3 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/1.0/_/download/batch/confluence.web.resources:window/confluence.web.resources:window.js HTTP/1.1 200 13ms 165 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-1 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/1.0/_/download/batch/confluence.web.resources:document/confluence.web.resources:document.js HTTP/1.1 200 14ms 187 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-1 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1004134457/8.5.7/_/download/batch/com.atlassian.confluence.plugins.confluence-frontend:split_vendors~backbone/com.atlassian.confluence.plugins.confluence-frontend:split_vendors~backbone.js?locale=en-GB HTTP/1.1 200 7ms 18882 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/6.1.0/_/download/batch/com.atlassian.plugins.atlassian-plugins-webresource-plugin:root/com.atlassian.plugins.atlassian-plugins-webresource-plugin:root.js HTTP/1.1 200 139ms 185 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-9 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/6.1.0/_/download/batch/com.atlassian.plugins.atlassian-plugins-webresource-plugin:data/com.atlassian.plugins.atlassian-plugins-webresource-plugin:data.js HTTP/1.1 200 135ms 1247 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-3 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:common-runtime/com.atlassian.auiplugin:common-runtime.js?locale=en-GB HTTP/1.1 200 81ms 1763 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-2 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/6.1.0/_/download/batch/com.atlassian.plugins.atlassian-plugins-webresource-plugin:context-path/com.atlassian.plugins.atlassian-plugins-webresource-plugin:context-path.js HTTP/1.1 200 136ms 414 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1004134457/1.0/_/download/batch/confluence.web.resources:backbone/confluence.web.resources:backbone.js HTTP/1.1 200 6ms 197 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1004134457/8.5.7/_/download/batch/com.atlassian.confluence.plugins.confluence-frontend:split_backbone/com.atlassian.confluence.plugins.confluence-frontend:split_backbone.js?locale=en-GB HTTP/1.1 200 10ms 452 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-5 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.vendors--95c789edf5/com.atlassian.auiplugin:split_aui.splitchunk.vendors--95c789edf5.js?locale=en-GB HTTP/1.1 200 97ms 400 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[05/Apr/2024:13:27:19 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1004134457/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.9c48cc20a9/com.atlassian.auiplugin:split_aui.splitchunk.9c48cc20a9.js?locale=en-GB HTTP/1.1 200 25ms 337 http://localhost:8090/setup/setupcluster-start.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
